"lag_seconds","rows_"
"83478.370","11"
"127354.370","11"
"85643.280","11"
"71757.370","11"
"150060.920","11"
"149673.370","11"
"252416.930","11"
"77626.260","11"
"78279.370","11"
"78857.280","11"
"142549.260","11"
"142100.920","11"
"82265.280","11"
"76018.920","11"
"241085.660","11"
"139298.260","11"
"147442.920","11"
"227585.660","11"
"138232.260","11"
"89142.920","10"
"77417.280","10"
"155073.920","10"
"138712.370","10"
"85218.260","10"
"131931.260","10"
"99854.920","10"
"100889.280","10"
"85995.280","10"
"169467.660","10"
"88616.260","10"
"247074.930","10"
"69210.920","10"
"145890.370","10"
"154462.920","10"
"248506.930","10"
"74586.280","10"
"143062.260","10"
"324358.930","10"
"248668.930","10"
"71487.260","10"
"162770.660","10"
"73312.280","10"
"141716.920","10"
"71199.280","10"
"97533.260","10"
"323752.930","10"
"148342.920","10"
"322572.930","10"
"79711.280","10"
"147979.370","10"
"322674.930","10"
"81366.260","10"
"127329.370","10"
"241666.930","10"
"153473.920","10"
"223776.660","10"
"142721.260","10"
"139089.370","10"
"80075.260","10"
"89763.260","10"
"142947.260","10"
"153661.920","10"
"162073.660","10"
"225527.660","10"
"145639.920","10"
"220233.660","10"
"135362.260","10"
"224673.660","10"
"148656.260","10"
"92727.260","10"
"69758.370","10"
"75416.920","10"
"74510.260","10"
"89867.260","10"
"127068.920","10"
"139276.370","10"
"244021.930","10"
"78794.370","10"
"144063.920","10"
"261995.930","10"
"134869.920","10"
"101679.280","10"
"270337.930","10"
"327007.930","10"
"79769.260","10"
"148707.920","10"
"148107.920","10"
"139461.920","10"
"323062.930","10"
"241972.930","10"
"320549.930","10"
"129975.920","10"
"161616.660","10"
"74624.920","10"
"163417.660","10"
"148808.370","10"
"170326.660","10"
"133287.920","10"
"130998.260","10"
"90516.920","10"
"89330.280","10"
"85217.370","10"
"85435.920","10"
"317909.930","10"
"116746.370","10"
"143562.260","10"
"84545.260","10"
"88544.920","10"
"176965.660","10"
"163924.660","10"
"177022.660","10"
"260406.930","10"
"248901.930","10"
"94863.260","10"
"76702.370","10"
"235242.660","10"
"71826.920","10"
"152568.260","10"
"316440.930","10"
"128976.370","10"
"132689.260","10"
"99059.370","10"
"135272.260","10"
"202746.660","10"
"133135.260","10"
"167218.660","9"
"148853.920","9"
"227872.660","9"
"312485.930","9"
"84425.370","9"
"137230.260","9"
"217420.660","9"
"127438.260","9"
"254558.930","9"
"232035.660","9"
"137906.260","9"
"233373.660","9"
"145515.920","9"
"247167.930","9"
"153250.920","9"
"86575.280","9"
"160679.660","9"
"136192.920","9"
"297511.930","9"
"224660.660","9"
"96145.280","9"
"142507.920","9"
"73704.920","9"
"249412.930","9"
"127057.920","9"
"143486.920","9"
"70940.280","9"
"151925.920","9"
"121664.370","9"
"146127.370","9"
"168633.660","9"
"80412.280","9"
"92375.280","9"
"150546.920","9"
"244492.930","9"
"148919.370","9"
"83676.920","9"
"154230.920","9"
"245743.930","9"
"74539.260","9"
"91454.260","9"
"264246.930","9"
"78435.370","9"
"137787.920","9"
"75885.370","9"
"242378.930","9"
"73136.280","9"
"138853.920","9"
"158606.660","9"
"73229.370","9"
"85653.370","9"
"81472.370","9"
"136292.370","9"
"184395.660","9"
"76284.260","9"
"133474.920","9"
"73157.370","9"
"71091.260","9"
"142009.920","9"
"144310.920","9"
"143960.260","9"
"154878.920","9"
"232222.660","9"
"86100.370","9"
"82398.260","9"
"149196.920","9"
"151775.260","9"
"143179.260","9"
"154299.260","9"
"235269.660","9"
"127976.920","9"
"312548.930","9"
"89893.280","9"
"142831.370","9"
"321475.930","9"
"244234.930","9"
"301494.930","9"
"302234.930","9"
"142550.920","9"
"140261.920","9"
"130467.370","9"
"82755.370","9"
"144616.260","9"
"80951.370","9"
"75064.370","9"
"83410.260","9"
"312339.930","9"
"130871.260","9"
"149320.370","9"
"138133.260","9"
"144675.370","9"
"146289.260","9"
"69794.920","9"
"127320.920","9"
"171619.660","9"
"142281.920","9"
"145076.370","9"
"143007.370","9"
"223056.660","9"
"75216.370","9"
"133458.260","9"
"152063.260","9"
"88686.370","9"
"140899.920","9"
"77098.280","9"
"241781.930","9"
"172749.660","9"
"133607.920","9"
"89970.280","9"
"205634.660","9"
"324085.930","9"
"77719.370","9"
"302140.930","9"
"146981.920","9"
"260160.930","9"
"326625.930","9"
"169764.660","9"
"142684.920","9"
"141206.370","9"
"266978.930","9"
"317245.930","9"
"251736.930","9"
"172409.660","9"
"77271.260","9"
"320372.930","9"
"128325.370","9"
"227345.660","9"
"145402.260","9"
"324983.930","9"
"319604.930","9"
"131658.370","9"
"173308.660","9"
"142014.260","9"
"138952.920","9"
"236374.660","9"
"147650.920","9"
"227719.660","9"
"89126.280","9"
"8744.280","9"
"79784.370","9"
"75952.260","8"
"205793.660","8"
"97740.370","8"
"134210.260","8"
"315092.930","8"
"162272.660","8"
"83759.280","8"
"90997.920","8"
"70195.370","8"
"138586.920","8"
"130983.370","8"
"85190.370","8"
"155014.370","8"
"127749.260","8"
"134540.260","8"
"231619.660","8"
"137424.260","8"
"226815.660","8"
"243243.930","8"
"91540.920","8"
"180031.660","8"
"83184.260","8"
"314940.930","8"
"252081.930","8"
"261645.930","8"
"143489.920","8"
"230409.660","8"
"130955.260","8"
"139218.370","8"
"250980.930","8"
"71365.920","8"
"71235.370","8"
"78656.920","8"
"88098.260","8"
"146926.370","8"
"222217.660","8"
"139963.920","8"
"72576.280","8"
"130680.920","8"
"154965.260","8"
"83365.260","8"
"71084.920","8"
"143563.260","8"
"152492.370","8"
"258385.930","8"
"146412.260","8"
"79961.280","8"
"164319.660","8"
"72643.920","8"
"150271.370","8"
"138724.370","8"
"148203.920","8"
"177771.660","8"
"79824.370","8"
"309782.930","8"
"132631.920","8"
"134531.260","8"
"84357.370","8"
"235059.660","8"
"84256.260","8"
"323101.930","8"
"160659.660","8"
"318473.930","8"
"222335.660","8"
"151924.370","8"
"326184.930","8"
"154541.260","8"
"78278.260","8"
"91460.920","8"
"93950.280","8"
"74205.920","8"
"95467.260","8"
"137505.260","8"
"265636.930","8"
"221221.660","8"
"247048.930","8"
"87118.920","8"
"151788.920","8"
"313693.930","8"
"172303.660","8"
"88195.920","8"
"139049.920","8"
"85451.280","8"
"253242.930","8"
"161875.660","8"
"71322.370","8"
